geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
12,0.073295,20.883423,54.000000,0.752959,0.564653,0.153199,0.168489
12,0.064966,25.558174,49.000000,0.707919,0.624438,0.167694,0.168489
12,0.064941,8.295862,45.000000,0.872077,0.595531,0.004288,0.168489
12,0.076159,20.837482,43.000000,0.744092,0.577295,0.174444,0.168489
12,0.077024,16.665737,37.000000,0.759723,0.577361,0.169555,0.168489
12,0.062649,14.814106,32.000000,0.502384,0.642358,0.374484,0.168489
12,0.075499,10.741924,32.000000,0.758541,0.575292,0.159960,0.168489
13,0.064578,17.175756,69.000000,0.872117,0.597362,0.000000,0.093016
13,0.066017,21.107155,67.000000,0.872970,0.603649,0.016424,0.093016
13,0.064760,19.181601,58.000000,0.869989,0.597429,0.002802,0.093016
13,0.076312,15.486812,57.000000,0.756800,0.575706,0.166735,0.093016
13,0.069089,19.881973,52.000000,0.730173,0.596025,0.148950,0.093016
13,0.065938,17.114372,47.000000,0.872404,0.602403,0.014995,0.093016
13,0.070707,19.298801,47.000000,0.815105,0.585066,0.085107,0.093016
13,0.069911,17.330051,40.000000,0.814975,0.588049,0.079025,0.093016
13,0.076469,17.477760,34.000000,0.757384,0.575551,0.167471,0.093016
13,0.074585,9.540089,29.000000,0.757358,0.571575,0.155636,0.093016
14,0.065339,29.413212,72.000000,0.868388,0.601809,0.000000,0.080019
14,0.064578,17.421343,65.000000,0.872117,0.597362,0.010140,0.080019
14,0.072975,27.874514,63.000000,0.744839,0.587882,0.146281,0.080019
14,0.067210,19.731691,54.000000,0.801779,0.597327,0.069411,0.080019
14,0.073013,17.651535,49.000000,0.782730,0.581366,0.117809,0.080019
14,0.068188,13.434361,45.000000,0.846575,0.592473,0.037727,0.080019
14,0.071368,17.494762,45.000000,0.817697,0.588108,0.080605,0.080019
14,0.071374,9.496585,40.000000,0.817363,0.587732,0.080963,0.080019
14,0.069661,13.800757,38.000000,0.775461,0.590828,0.103400,0.080019
14,0.066853,9.771317,29.000000,0.796864,0.593547,0.073833,0.080019
15,0.065339,12.920490,66.000000,0.868388,0.601809,0.000000,0.047822
15,0.068743,29.041225,64.000000,0.829852,0.589576,0.053642,0.047822
15,0.071734,19.019379,60.000000,0.815365,0.591359,0.084089,0.047822
15,0.066557,22.967077,58.000000,0.853872,0.596210,0.020200,0.047822
15,0.065835,21.140312,49.000000,0.833663,0.595955,0.035832,0.047822
15,0.066123,12.963096,49.000000,0.857233,0.592051,0.018293,0.047822
15,0.066579,10.919155,48.000000,0.860450,0.591005,0.019976,0.047822
15,0.073216,13.433877,45.000000,0.748851,0.589506,0.143977,0.047822
15,0.065908,14.944690,38.000000,0.861227,0.590907,0.016411,0.047822
15,0.067894,12.982646,23.000000,0.843252,0.591750,0.037980,0.047822
16,0.066388,14.547577,70.000000,0.846931,0.598785,0.000000,0.015359
16,0.065770,16.554436,61.000000,0.850053,0.589392,0.013629,0.015359
16,0.065339,24.427769,60.000000,0.868388,0.601809,0.024177,0.015359
16,0.066965,18.509411,58.000000,0.847922,0.601860,0.007008,0.015359
16,0.065564,18.486517,56.000000,0.859737,0.598162,0.015245,0.015359
16,0.066640,12.509245,51.000000,0.850010,0.592234,0.009104,0.015359
16,0.065916,12.497187,44.000000,0.856135,0.587205,0.017790,0.015359
16,0.067677,28.505760,41.000000,0.843890,0.599713,0.013299,0.015359
16,0.066043,6.474591,34.000000,0.858068,0.593316,0.013514,0.015359
16,0.068693,12.496274,25.000000,0.838762,0.598346,0.024467,0.015359
17,0.099544,16.810450,92.000000,1.000000,0.400000,0.000000,0.660986
17,0.100000,12.750000,90.000000,1.000000,0.800000,0.500021,0.660986
17,0.100000,12.750000,77.000000,1.000000,0.664621,0.330808,0.660986
17,0.066388,17.690399,60.000000,0.846931,0.598785,0.441709,0.660986
17,0.100000,7.688935,53.000000,0.690149,0.800000,0.588242,0.660986
17,0.040000,20.699980,52.000000,1.000000,0.400000,0.595440,0.660986
17,0.100000,14.105547,33.000000,0.666982,0.800000,0.600768,0.660986
