geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
16,0.099159,9.994225,49.000000,0.974952,0.768652,0.023350,0.039635
16,0.096549,20.046852,45.000000,0.981528,0.726081,0.063844,0.039635
16,0.097732,11.846383,42.000000,1.000000,0.749169,0.030606,0.039635
16,0.096520,6.114018,28.000000,0.973302,0.773576,0.034339,0.039635
16,0.099553,10.207402,17.000000,0.946777,0.731841,0.071647,0.039635
17,0.098909,14.859828,73.000000,0.997853,0.771705,0.000000,0.018186
17,0.099274,16.906038,64.000000,0.992790,0.772122,0.006262,0.018186
17,0.097954,14.898350,64.000000,1.000000,0.756937,0.020898,0.018186
17,0.098933,12.827383,58.000000,1.000000,0.780966,0.011776,0.018186
17,0.098315,13.058094,56.000000,0.986873,0.754108,0.025293,0.018186
17,0.098322,16.967827,53.000000,0.993231,0.751830,0.025945,0.018186
17,0.098951,10.914169,52.000000,0.993840,0.775827,0.006544,0.018186
17,0.096978,17.054941,42.000000,0.993877,0.760840,0.023945,0.018186
17,0.098041,5.077288,23.000000,0.986881,0.769606,0.014235,0.018186
17,0.099122,7.175247,15.000000,0.974515,0.758338,0.028782,0.018186
18,0.098909,20.337116,91.000000,0.997853,0.771705,0.000000,0.591406
18,0.050708,19.084293,87.000000,1.000000,0.800000,0.483317,0.591406
18,0.100000,24.250000,75.000000,1.000000,0.800000,0.037074,0.591406
18,0.100000,22.250000,74.000000,1.000000,0.400000,0.464764,0.591406
18,0.100000,14.432484,45.000000,0.787679,0.800000,0.213409,0.591406
18,0.095553,21.211542,34.000000,0.378823,0.722778,0.622949,0.591406
18,0.100000,15.450562,32.000000,0.309119,0.800000,0.689728,0.591406
18,0.072730,9.832727,25.000000,0.200000,0.400000,0.959681,0.591406
18,0.040000,15.679646,22.000000,0.373213,0.800000,0.859336,0.591406
18,0.040000,11.908007,15.000000,0.200000,0.800000,0.992397,0.591406
19,0.098909,21.106056,105.000000,0.997853,0.771705,0.000000,0.596979
19,0.100000,19.000000,59.000000,1.000000,0.400000,0.464764,0.596979
19,0.050025,16.498291,59.000000,1.000000,0.608581,0.529674,0.596979
19,0.100000,9.565792,57.000000,0.589697,0.400000,0.618541,0.596979
19,0.100000,21.546707,53.000000,0.797612,0.800000,0.203633,0.596979
19,0.092143,17.549973,53.000000,1.000000,0.400000,0.469537,0.596979
19,0.100000,16.462234,39.000000,0.468702,0.487568,0.637390,0.596979
19,0.100000,9.984894,33.000000,0.536537,0.400000,0.654839,0.596979
19,0.051040,21.123465,26.000000,0.495313,0.450140,0.802036,0.596979
19,0.040000,11.888008,16.000000,0.200000,0.800000,0.992397,0.596979
20,0.100000,31.000000,100.000000,1.000000,0.508275,0.000000,0.661622
20,0.098909,35.106056,99.000000,0.997853,0.771705,0.329476,0.661622
20,0.040000,21.199989,72.000000,1.000000,0.800000,0.702121,0.661622
20,0.040000,11.199989,48.000000,1.000000,0.400000,0.615075,0.661622
20,0.070497,11.065201,45.000000,1.000000,0.800000,0.469058,0.661622
20,0.059882,8.676098,44.000000,0.561990,0.800000,0.696972,0.661622
20,0.067943,19.103201,30.000000,0.434239,0.542081,0.651643,0.661622
20,0.057995,11.176510,27.000000,0.450388,0.400000,0.704863,0.661622
20,0.100000,13.367088,20.000000,0.300695,0.800000,0.788671,0.661622
20,0.041556,9.883656,15.000000,0.200000,0.421105,0.996716,0.661622
21,0.100000,22.299805,88.000000,0.906788,0.498940,0.000000,0.383653
21,0.100000,23.500000,70.000000,1.000000,0.508275,0.093939,0.383653
21,0.072988,16.715534,65.000000,1.000000,0.530626,0.288483,0.383653
21,0.077808,18.498657,57.000000,1.000000,0.800000,0.446720,0.383653
21,0.100000,24.519527,51.000000,0.879454,0.800000,0.377316,0.383653
21,0.054598,13.543079,51.000000,1.000000,0.400000,0.479705,0.383653
21,0.074818,12.581648,40.000000,0.649060,0.713523,0.449205,0.383653
21,0.079446,14.437864,28.000000,0.661025,0.400000,0.343428,0.383653
21,0.064034,17.102486,27.000000,0.558096,0.550671,0.505097,0.383653
21,0.054689,9.768814,23.000000,0.952165,0.588666,0.468987,0.383653
22,0.100000,26.505371,75.000000,0.906788,0.498940,0.000000,0.191581
22,0.100000,16.137802,74.000000,0.953285,0.503195,0.046800,0.191581
22,0.086469,16.663832,67.000000,0.952794,0.514006,0.144153,0.191581
22,0.088922,22.559748,64.000000,0.954106,0.649475,0.223427,0.191581
22,0.100000,18.612465,57.000000,0.892787,0.649126,0.188254,0.191581
22,0.077337,13.011946,44.000000,0.953468,0.449587,0.239472,0.191581
22,0.089720,19.659115,38.000000,0.783521,0.449190,0.172134,0.191581
22,0.087467,13.745576,37.000000,0.778756,0.606020,0.223641,0.191581
22,0.077328,15.159058,28.000000,0.929753,0.543218,0.234505,0.191581
22,0.082097,8.126196,16.000000,0.732831,0.525600,0.251841,0.191581
23,0.099943,18.161633,71.000000,0.930289,0.501042,0.000000,0.099894
23,0.100000,12.449707,68.000000,0.906788,0.498940,0.023654,0.099894
23,0.099845,24.544926,65.000000,0.899676,0.573438,0.095538,0.099894
23,0.094474,22.465466,63.000000,0.931606,0.575456,0.107912,0.099894
23,0.093187,10.552446,52.000000,0.930618,0.505488,0.067788,0.099894
23,0.088580,20.808853,48.000000,0.931779,0.475777,0.117945,0.099894
23,0.095037,9.428615,37.000000,0.844161,0.474963,0.104343,0.099894
23,0.093910,15.487452,37.000000,0.843732,0.552643,0.123664,0.099894
23,0.091191,9.867252,34.000000,0.819392,0.513946,0.142189,0.099894
23,0.088652,4.936985,25.000000,0.919833,0.520670,0.116016,0.099894
24,0.099943,14.107767,76.000000,0.930289,0.501042,0.000000,0.050495
24,0.099782,20.218821,73.000000,0.917658,0.499454,0.012886,0.050495
24,0.096950,18.221020,58.000000,0.930695,0.537306,0.054321,0.050495
24,0.096312,20.224926,54.000000,0.933289,0.502229,0.036463,0.050495
24,0.096692,16.566338,48.000000,0.888336,0.528686,0.063332,0.050495
24,0.097532,18.547413,47.000000,0.886937,0.491138,0.051127,0.050495
24,0.099883,22.211494,46.000000,0.918085,0.537443,0.047113,0.050495
24,0.094081,10.311615,40.000000,0.933384,0.490241,0.060229,0.050495
24,0.094004,14.367005,33.000000,0.926728,0.509793,0.060490,0.050495
24,0.095667,8.686455,25.000000,0.877321,0.507095,0.068491,0.050495
25,0.099943,13.080475,71.000000,0.930289,0.501042,0.000000,0.027744
25,0.098347,7.120544,58.000000,0.935085,0.512781,0.022203,0.027744
25,0.098613,17.185598,57.000000,0.929399,0.504608,0.014054,0.027744
25,0.099648,13.109177,53.000000,0.929732,0.520494,0.024500,0.027744
25,0.100000,17.209061,52.000000,0.921339,0.505883,0.010819,0.027744
25,0.098808,25.545410,49.000000,0.903637,0.500447,0.028978,0.027744
25,0.096470,7.360201,47.000000,0.927549,0.489270,0.037819,0.027744
25,0.098371,11.530061,45.000000,0.906716,0.518792,0.035986,0.027744
25,0.097171,13.659363,44.000000,0.903137,0.505868,0.039269,0.027744
25,0.096377,7.395264,24.000000,0.925542,0.498957,0.036068,0.027744
26,0.099943,21.242809,74.000000,0.930289,0.501042,0.000000,0.016323
26,0.099963,23.173988,69.000000,0.936902,0.493634,0.011380,0.016323
26,0.099298,17.252121,68.000000,0.932393,0.508917,0.011955,0.016323
26,0.100000,17.296391,66.000000,0.924771,0.494843,0.009529,0.016323
26,0.096998,29.283009,54.000000,0.940305,0.487342,0.035506,0.016323
26,0.098576,13.199393,53.000000,0.940983,0.503080,0.017543,0.016323
26,0.100000,13.192955,38.000000,0.934884,0.491799,0.012446,0.016323
26,0.099991,7.394266,35.000000,0.915141,0.513837,0.022034,0.016323
26,0.098749,5.383329,22.000000,0.921969,0.504483,0.015172,0.016323
26,0.099410,5.175877,21.000000,0.939318,0.497580,0.011340,0.016323
27,0.100000,26.500000,95.000000,1.000000,0.800000,0.000000,0.722701
27,0.099943,15.512942,84.000000,0.930289,0.501042,0.380145,0.722701
27,0.040000,16.999989,70.000000,1.000000,0.800000,0.600000,0.722701
27,0.040000,22.999989,65.000000,1.000000,0.400000,0.781025,0.722701
27,0.100000,19.797642,52.000000,0.541894,0.400000,0.678130,0.722701
27,0.040000,12.999989,40.000000,1.000000,0.800000,0.600000,0.722701
27,0.074742,18.794422,39.000000,0.463749,0.400000,0.775475,0.722701
27,0.100000,11.217939,24.000000,0.322913,0.800000,0.677087,0.722701
27,0.040000,17.880009,23.000000,0.200000,0.800000,1.000000,0.722701
27,0.063252,9.810257,8.000000,0.200000,0.400000,1.012442,0.722701
28,0.100000,13.500000,86.000000,1.000000,0.800000,0.000000,0.607361
28,0.065288,21.756252,74.000000,1.000000,0.800000,0.347117,0.607361
28,0.100000,17.500000,71.000000,1.000000,0.800000,0.000000,0.607361
28,0.100000,15.500000,70.000000,1.000000,0.514136,0.357329,0.607361
28,0.100000,23.500000,66.000000,1.000000,0.400000,0.500000,0.607361
28,0.040000,19.399990,56.000000,1.000000,0.595430,0.652218,0.607361
28,0.100000,17.288517,25.000000,0.330843,0.400000,0.835327,0.607361
28,0.076429,15.801289,20.000000,0.200000,0.400000,0.972399,0.607361
28,0.040000,11.896008,18.000000,0.200000,0.800000,1.000000,0.607361
28,0.100000,9.682592,14.000000,0.220976,0.647999,0.801860,0.607361
29,0.100000,18.750000,89.000000,1.000000,0.800000,0.000000,0.439805
29,0.100000,22.750000,81.000000,1.000000,0.800000,0.000000,0.439805
29,0.100000,16.413734,56.000000,0.877793,0.565899,0.317119,0.439805
29,0.100000,11.932041,54.000000,0.914855,0.694604,0.156864,0.439805
29,0.100000,18.146391,50.000000,0.729062,0.740214,0.281056,0.439805
29,0.087177,11.106627,50.000000,0.676602,0.400000,0.609123,0.439805
29,0.040000,11.099989,42.000000,1.000000,0.643030,0.631268,0.439805
29,0.081103,16.397247,38.000000,0.522090,0.800000,0.513913,0.439805
29,0.046739,13.847601,22.000000,0.796989,0.800000,0.569987,0.439805
29,0.100000,19.443043,18.000000,0.277169,0.400000,0.878911,0.439805
30,0.100000,17.000000,74.000000,1.000000,0.800000,0.000000,0.324986
30,0.068253,28.587372,71.000000,1.000000,0.683480,0.349291,0.324986
30,0.100000,17.000000,71.000000,1.000000,0.800000,0.000000,0.324986
30,0.100000,15.000000,58.000000,1.000000,0.484156,0.394805,0.324986
30,0.064840,23.866510,56.000000,0.811222,0.552882,0.504656,0.324986
30,0.094547,14.169662,56.000000,0.900139,0.491610,0.401928,0.324986
30,0.100000,10.656609,39.000000,0.817729,0.763352,0.187940,0.324986
30,0.078319,16.771545,35.000000,0.907983,0.614159,0.330811,0.324986
30,0.100000,12.333141,23.000000,0.856371,0.729981,0.168196,0.324986
30,0.044620,8.555489,17.000000,0.804662,0.800000,0.587244,0.324986
31,0.100000,20.255703,75.000000,0.999505,0.800000,0.000000,0.240878
31,0.097327,18.950632,63.000000,0.949879,0.645389,0.201316,0.240878
31,0.084076,21.165634,58.000000,1.000000,0.742251,0.174838,0.240878
31,0.100000,15.242010,57.000000,0.909657,0.781838,0.092672,0.240878
31,0.100000,12.250000,56.000000,1.000000,0.800000,0.000495,0.240878
31,0.099940,8.254387,48.000000,0.999919,0.641177,0.198530,0.240878
31,0.089201,11.329441,46.000000,0.954260,0.707709,0.164373,0.240878
31,0.084693,15.712461,38.000000,0.938311,0.419136,0.503814,0.240878
31,0.097560,16.954561,36.000000,0.736811,0.476244,0.483096,0.240878
31,0.068341,12.904032,23.000000,0.887615,0.724574,0.348770,0.240878
32,0.098649,17.073519,67.000000,0.975308,0.723778,0.000000,0.102694
32,0.092323,21.450830,67.000000,0.968793,0.609689,0.156149,0.102694
32,0.092158,21.163841,65.000000,0.999779,0.771384,0.091397,0.102694
32,0.100000,16.755207,63.000000,0.999505,0.800000,0.099226,0.102694
32,0.099978,19.224323,58.000000,0.953863,0.790531,0.087171,0.102694
32,0.099898,12.755347,55.000000,1.000000,0.719546,0.028172,0.102694
32,0.099994,12.757130,40.000000,0.999352,0.800000,0.099180,0.102694
32,0.094444,9.273350,40.000000,0.976358,0.752898,0.055626,0.102694
32,0.084068,14.061074,26.000000,0.944700,0.762214,0.156545,0.102694
32,0.098918,8.089036,19.000000,0.867810,0.639216,0.150785,0.102694
33,0.099328,16.997084,67.000000,0.986131,0.722111,0.000000,0.055442
33,0.098649,15.196764,65.000000,0.975308,0.723778,0.012945,0.055442
33,0.095491,21.205662,63.000000,0.990659,0.749836,0.051904,0.055442
33,0.095444,13.499681,62.000000,0.969224,0.669737,0.077976,0.055442
33,0.099030,11.026012,54.000000,0.985572,0.764150,0.052636,0.055442
33,0.096321,11.366907,50.000000,0.974605,0.736827,0.037088,0.055442
33,0.099311,8.967712,47.000000,0.988282,0.762413,0.050424,0.055442
33,0.099516,13.307667,39.000000,0.963102,0.756493,0.048795,0.055442
33,0.099088,7.893156,28.000000,0.921994,0.683300,0.080454,0.055442
33,0.091571,13.877463,25.000000,0.960324,0.745343,0.086756,0.055442
34,0.098479,17.724197,82.000000,0.982270,0.731727,0.000000,0.023806
34,0.099580,17.687180,63.000000,0.981041,0.728245,0.011909,0.023806
34,0.099328,21.653362,61.000000,0.986131,0.722111,0.015215,0.023806
34,0.096901,13.778967,60.000000,0.983875,0.740981,0.019632,0.023806
34,0.099408,15.737202,52.000000,0.976179,0.733869,0.011432,0.023806
34,0.098741,19.694424,49.000000,0.984373,0.739871,0.010722,0.023806
34,0.097200,15.835770,43.000000,0.975728,0.696484,0.046337,0.023806
34,0.098731,11.652487,35.000000,0.989206,0.747246,0.020756,0.023806
34,0.099668,15.917000,35.000000,0.954126,0.705362,0.044939,0.023806
34,0.095323,7.949752,20.000000,0.971706,0.730445,0.033313,0.023806
35,0.098479,26.911919,67.000000,0.982270,0.731727,0.000000,0.019779
35,0.099448,14.807228,65.000000,0.993902,0.743865,0.021436,0.019779
35,0.099747,20.906733,65.000000,0.976826,0.731035,0.013827,0.019779
35,0.100000,18.781162,62.000000,0.995195,0.737547,0.021246,0.019779
35,0.096533,8.993616,61.000000,0.978912,0.729569,0.019933,0.019779
35,0.100000,20.830957,55.000000,0.987467,0.723059,0.019386,0.019779
35,0.096529,14.950546,54.000000,0.985917,0.714003,0.029736,0.019779
35,0.098768,16.846926,27.000000,0.991102,0.743532,0.017438,0.019779
35,0.099131,12.911196,25.000000,0.979150,0.709630,0.028550,0.019779
35,0.098127,12.896901,19.000000,0.986421,0.734504,0.006454,0.019779
36,0.098479,21.486652,77.000000,0.982270,0.731727,0.000000,0.020034
36,0.100000,17.569277,67.000000,0.965806,0.747506,0.029858,0.020034
36,0.100000,11.250000,67.000000,1.000000,0.734115,0.023552,0.020034
36,0.100000,17.332047,59.000000,0.991325,0.725696,0.019241,0.020034
36,0.097834,15.423488,55.000000,0.992373,0.721592,0.017438,0.020034
36,0.098745,17.563322,50.000000,0.972580,0.728465,0.010844,0.020034
36,0.100000,13.480611,40.000000,0.975423,0.727772,0.017399,0.020034
36,0.095908,9.480647,38.000000,0.996009,0.743224,0.032497,0.020034
36,0.098153,19.362411,38.000000,0.997349,0.733934,0.015671,0.020034
36,0.098108,11.619988,9.000000,0.969481,0.728815,0.013805,0.020034
37,0.100000,16.105743,73.000000,0.986694,0.752892,0.000000,0.031210
37,0.098479,16.199293,62.000000,0.982270,0.731727,0.030838,0.031210
37,0.097903,20.161566,62.000000,0.990031,0.728320,0.037340,0.031210
37,0.100000,20.000000,57.000000,1.000000,0.743686,0.017592,0.031210
37,0.099414,16.119568,57.000000,0.987841,0.725250,0.035066,0.031210
37,0.096581,12.147385,48.000000,0.998622,0.740188,0.039538,0.031210
37,0.100000,14.208912,45.000000,0.973536,0.716664,0.047158,0.031210
37,0.098126,16.206116,41.000000,0.983153,0.741313,0.023945,0.031210
37,0.099444,14.097443,29.000000,0.990505,0.739195,0.018402,0.031210
37,0.097593,16.186951,26.000000,0.988317,0.737296,0.031014,0.031210
38,0.100000,17.375570,72.000000,0.986694,0.752892,0.000000,0.019197
38,0.099858,21.376156,68.000000,0.987333,0.734032,0.023626,0.019197
38,0.098268,15.402822,61.000000,0.992415,0.739251,0.024973,0.019197
38,0.099279,13.352031,61.000000,0.992788,0.751433,0.009616,0.019197
38,0.099657,19.413876,56.000000,0.984288,0.725834,0.034082,0.019197
